restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Andhra Ruchulu,JP Nagar,1319 100 Feet Road 2nd Phase JP Nagar Bangalore,Andhra, North Indian, Chinese, , , , , 
Podi Idly,Koramangala 6th Block,503 6th Cross Road Koramangala 6th Block Bangalore,South Indian, , , , , , , 
Grill Biryanis,Jalahalli,9 Jalahalli Cross Circle Jalahalli Bangalore,Biryani, North Indian, , , , , , 
Roti Ghar,Basavanagudi,17 Gandhi Bazaar Main Road Basavanagudi Bangalore,North Indian, Chinese, South Indian, Ice Cream, , , , 
Chai Days,Indiranagar,2019 100 Feet Road Indiranagar Bangalore,Cafe, Tea, Beverages, Fast Food, , , , 
Savi Sagar,Jalahalli,9 Jalahalli Cross Circle Jalahalli Bangalore,South Indian, North Indian, Chinese, , , , , 
PORKEATS,Koramangala 6th Block,67 17th B Main 6th Cross 6th Block Koramangala Bangalore,Goan, Mangalorean, , , , , , 
Anjappar,Indiranagar,54 Defence Colony Hal 2nd Stage Shanthinagara Indiranagar Bangalore,Chettinad, South Indian, Chinese, North Indian, Biryani, Tamil, , 
Occasions,Koramangala 4th Block,439 8th Main Road Koramangala 4th Block Bangalore,Bakery, Desserts, , , , , , 
Sultans Of Spice,BluPetal Hotel Koramangala,60 Jyoti Nivas College Road Koramangala 5th Block Bangalore,North Indian, Mughlai, Kebab, Street Food, Seafood, Desserts, Beverages, 
O.G. Variar & Sons,Rajajinagar,12th Main 2nd Block Rajajinagar Bangalore,Bakery, Desserts, , , , , , 
Figo Deli,BTM,62 1371/62 Serial 246 New BBMP Dollar Planning Layout Billekahalli Village Begur Hobli BTM Bangalore,Healthy Food, Italian, Salad, Desserts, Pizza, , , 
Kabab Mehal,JP Nagar,Kothanur Main Road Gaurav Nagar 5th Cross Road 7th Phase Besides Spencer's JP Nagar Bangalore,North Indian, Chinese, Juices, , , , , 
Kitchens@HSR,HSR,14th Main 5th Sector HSR Bangalore,Biryani, South Indian, North Indian, Chinese, Desserts, Beverages, , 
Punjabi Swag,BTM,950 16th Main Road 2nd Stage BTM Bangalore,North Indian, Momos, Mughlai, Beverages, , , , 
HOMMS,Brookefield,5/2 Kundanahalli Gate Thubarahalli Post Brookefield Bangalore,Momos, Chinese, Fast Food, North Indian, , , , 
Domino's Pizza,Kumaraswamy Layout,14th Cross 50 FT Road 2nd Stage Kumaraswamy Layout Bangalore,Pizza, Fast Food, , , , , , 
Lakeview Milkbar,MG Road,89 Kannan Building MG Road Bangalore,Desserts, Cafe, , , , , , 
Maa Da Dhaba,Yelahanka,791 MIG 2nd Stage MD Road Yelahanka Bangalore,North Indian, , , , , , , 
Udupi Park Inn,Hebbal,29 GVR Plaza Near Canara Bank Bellary Road Hebbal Bangalore,South Indian, Chinese, Street Food, Beverages, , , , 
Ice Cafe & Lassi Shop,BTM,36 Vyivavi Complex 4th Main N S Palya 1st Cross Road Industrial Area 2nd Stage B G Road BTM Bangalore,Beverages, Juices, , , , , , 
Tea Brew,Indiranagar,172 2nd Cross Road Double Road Indiranagar bangalore,Cafe, Tea, Fast Food, Street Food, Desserts, , , 
#54 Gully Kitchen,Malleshwaram,54 Railway Parallel Road Kumara Park Malleshwaram Bangalore,North Indian, Asian, Fast Food, Street Food, , , , 
Hammered,Cunningham Road,18 Ali Askar Road Cunningham Road Bangalore,North Indian, Continental, , , , , , 
Dolci Desserts,Cunningham Road,18/3 Ali Askar Road Near Kingfisher Airlines Office Cunningham Road Bangalore,Cafe, Desserts, Italian, Continental, Mexican, , , 
Jetlag,Rajajinagar,3 Industrial Suburb Opposite To Sheraton Hotel Near Orion Mall Rajajinagar Bangalore,Finger Food, Continental, North Indian, Italian, , , , 
Behrouz Biryani,Jayanagar,Delivery Only,Biryani, North Indian, Mughlai, , , , , 
Trattoria By Toscano,HSR,Delivery Only,Italian, , , , , , , 
Aubree,Sadashiv Nagar,41/1 Sri Sai 2nd Main Vyalikaval Sadashiv Nagar Bangalore,Cafe, Italian, Desserts, Bakery, , , , 
Venu's Donne Biriyani,BTM,1 Tavarekere Cashier Layout Chocolate Factory Road 1st Stage Near AVS School BTM Bangalore,Biryani, Kebab, South Indian, , , , , 
Amazing Kati Roll's,HSR,226 Sai Anugraha Ground Floor 17th Main 4th Sector HSR Layout Opposite Oxford College HSR Bangalore,Rolls, Fast Food, , , , , , 
New SLV Gowdru Hindu Miltry Hotel,Jalahalli,60/61 Shubha Complex KIADB Road Chokkasandra Jalahalli Bangalore,South Indian, , , , , , , 
Kerala Mess Upahar,Bellandur,73/3 Bellandur Out Ring Road Near Rasahana Hotel Bellandur Bangalore,Kerala, Biryani, South Indian, , , , , 
Office Lunch Box,Whitefield,Delivery Only,Andhra, North Indian, , , , , , 
Khamma Ghani Sa,Koramangala 6th Block,55 5th Cross Road KHB Colony Koramangala 6th Block Bangalore,Rajasthani, North Indian, , , , , , 
Donne Biryani Angadi Mane,Jalahalli,Andrahalli Main Road Vidya Nagar Nagasandra Jalahalli Bangalore,Biryani, Hyderabadi, South Indian, , , , , 
NTR - Nellore Tiffin Room,HSR,436 Kendriya Upadyara Sangha Venkatapura HSR Bangalore,South Indian, Andhra, North Indian, , , , , 
The Biere Club,Lavelle Road,20/2 Vittal Mallya Road Lavelle Road Bangalore,Finger Food, Continental, Fast Food, North Indian, Italian, , , 
Moriz Restaurant,Brookefield,614 C Block AECS Layout Kundalahalli Brookefield Bangalore,Arabian, North Indian, Biryani, Chinese, Seafood, , , 
Southinn,HSR,1158 5th Main 20th Cross 7th Sector HSR Bangalore,South Indian, North Indian, , , , , , 
Hyderabad Chefs,More MegaStore Marathahalli,88 3rd Floor KBR Mall Above More Mega Store Outer Ring Road Marathahalli Bangalore,Hyderabadi, Andhra, North Indian, Chinese, South Indian, , , 
Thalassery Restaurant,Electronic City,507 Near Narayana Reddy Layout Road Electronic City phase 2 Electronic City Bangalore,South Indian, North Indian, Biryani, Chinese, Beverages, , , 
Joys Kuttanadu Restaurant,Yeshwantpur,Ramaiah College Bus Stop HMT Main Road Mathikere Yeshwantpur Bangalore,Kerala, , , , , , , 
GOPIZZA,Marathahalli,1-417 1st Cross Road Chandra Layout Opposite Chemmanur Jewellery Marathahalli Bangalore,Pizza, Fast Food, Sandwich, , , , , 
The Global Huts,International Airport,34 Kadusonnappana Halli New Airport Road International Airport Bangalore,North Indian, Seafood, Bar Food, Desserts, , , , 
Keto Kitchen,Kalyan Nagar,420 First Floor 4th Cross 2nd Block HRBR Layout Kalyan Nagar Bangalore,Healthy Food, North Indian, Beverages, , , , , 
Pani Weds Puri,Rajajinagar,624 Dr Rajkumar Road 2nd Block Rajajinagar Bangalore,Street Food, , , , , , , 
Just Eat,Nagarbhavi,529 3rd Block Behind BDA Complex 2nd Stage Nagarbhavi Bangalore,North Indian, Chinese, , , , , , 
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,49/1 Subbaraoshetty Road Netkallappa Circle Basavanagudi Bangalore,South Indian, , , , , , , 
Cake Menu,Marathahalli,22/37 Maruti Nilaya Anand Nagar Outer Ring Road Marathahalli Bangalore,Bakery, , , , , , , 
New Shetty Lunch Bhavan,BTM,2nd Stage 10th Cross 16th Main Opposite Mico Layout Police Station BTM Bangalore,Chinese, , , , , , , 
Bob's Bar,Indiranagar,777/I Opposite New Horizon School HAL 2nd Stage 100 Feet Road Indiranagar Bangalore,South Indian, Finger Food, , , , , , 
Fish And Dish,JP Nagar,Jambunagar 1st Cross 8th Phase Opposite Water Tank Near Jambusawaridinne Bus Stand JP Nagar Bangalore,Mangalorean, Chinese, , , , , , 
Sant Spa Cuisine,Domlur,151 2nd Cross 2nd Stage Domlur Bangalore,Asian, Mediterranean, Italian, European, Desserts, Beverages, , 
Sri Durga Chats and Juice,Vijay Nagar,7th Main Chord road Vijay Nagar Bangalore,Fast Food, Street Food, Juices, , , , , 
The Salad Studio,Indiranagar,203 Link Road 4 2nd Stage Hoysala Nagar Indiranagar Bangalore,Salad, Healthy Food, Beverages, , , , , 
Vijayalakshmi Veg,Frazer Town,112 MM Road Frazer Town Bangalore,South Indian, Chinese, , , , , , 
Hotel Salam,HSR,38/3 Opposite Salarpuria Serenity Mangamannapalya Main Road Bommanahalli HSR Bangalore,North Indian, Chinese, Biryani, , , , , 
Bengali Fun Foods,BTM,66 35th Main 100 Feet Ring Road Near Silk Board BTM 2nd Stage BTM Bangalore,Bengali, North Indian, , , , , , 
Mighty Bites,Rajajinagar,258/A 1st Main 60 Feet Road West Chord Road Shivanagar Rajajinagar Bangalore,Fast Food, , , , , , , 
New Udupi Grand,HSR,467 CK Complex Opposite Fernhill Garden Aparment Teacher Colony HSR Layout 5th Sector HSR Bangalore,South Indian, North Indian, Chinese, , , , , 
Shawarma Fun,Inorbit Mall Whitefield,Plot 75 Inorbit Mall Road 7 EPIP Zone Whitefield Bangalore,Lebanese, , , , , , , 
JW Kitchen - JW Marriott Bengaluru,JW Marriott Bengaluru Lavelle Road,JW Marriott 24/1 Vittal Mallya Road Lavelle Road Bangalore,North Indian, Continental, Italian, , , , , 
Let's Grub,BTM,2nd Cross Krishnappa Garden BTM Bangalore,North Indian, Bengali, , , , , , 
Sanam Hotel And Caterers,Hennur,3 1st Cross K Narayanapura Main Road Rk Hedge Nagar Hennur Bangalore,Biryani, , , , , , , 
SoupWala,HSR,1699 19th Main Road Sector 2 HSR Bangalore,North Indian, Chinese, Street Food, Rolls, , , , 
OPUS Club,OPUS Sarjapur Road,26 Harlur Road Near HP Petrol Bunk Off Sarjapur Road Bangalore,Continental, Italian, North Indian, Mexican, , , , 
DBD - Davangere Benne Dose,Vijay Nagar,Opposite HDFC Bank BMTC Bus Stop Chandra Layout Vijay Nagar Bangalore,South Indian, , , , , , , 
Bansuri Sweets,BTM,948 16th Main 7th Cross Road 2nd Stage BTM Bangalore,Street Food, North Indian, , , , , , 
Hyderabad Biryani House,Malleshwaram,9 1st Cross Sampige Road Malleshwaram Bangalore,Biryani, Hyderabadi, Chinese, , , , , 
Chung's Chinese Corner,Malleshwaram,88/1 Shubha Arcade 16th Cross Margosa Road Malleshwaram Bangalore,Chinese, Asian, American, Seafood, , , , 
NIC - Natural Ice Creams,Marathahalli,Delivery Only,Ice Cream, Desserts, , , , , , 
Chaat Junction,Whitefield,1 1st Cross Near Vibygor School Kundallahalli Whitefield Bangalore,Street Food, North Indian, Fast Food, , , , , 
Albert Bakery,Frazer Town,93 Mosque Road Frazer Town Bangalore,Bakery, Fast Food, , , , , , 
Zoey's,Sarjapur Road,Survey 104/1 Opposite St Patricks Academy Kodathi Gate Sarjapur Road Bangalore,Cafe, Continental, Italian, Beverages, Desserts, , , 
Malabar Cafe,BTM,Bharathi Layout Opposite Christ School SG Palya BTM Bangalore,Kerala, North Indian, Chinese, South Indian, , , , 
Alchemy Coffee Roasters,Jayanagar,51 Ground Floor 5th Main Road 36th Cross Road 5th Block Jayanagar Bangalore,Cafe, Italian, , , , , , 
Riches Pizza Burger,Peenya,1\/E HTL Road Near Manjunathswamy Temple Road Parvathi Nagar Peenya Bangalore,Pizza, Burger, Fast Food, , , , , 
Janani Fast Food,Yelahanka,4th Main Road Vinayakanagar Bagalur Main Road Yelahanka Bangalore,South Indian, Chinese, , , , , , 
Kerala Panoor Restaurant,Bellandur,4 Ground Floor Lakshaman Reddy Building Marthahalli Ring Road Bellandur Bangalore,Kerala, Seafood, Biryani, South Indian, Chinese, , , 
Oru Vadakkan Cafe,Koramangala 5th Block,183 4th Cross Road KHB Block Koramangala 5th Block Bangalore,Kerala, South Indian, Biryani, Seafood, , , , 
From Hill To Station,Hennur,Near Medi Dermi Hospital Kothanur Hennur Bangalore,Cafe, Fast Food, , , , , , 
Madeena Hotel,Bannerghatta Road,10/20 1st Main Old Gurappanapalya Bannerghatta Road Bangalore,North Indian, Mughlai, Biryani, , , , , 
Manjushree Veg,Bannerghatta Road,5th Main Arekere Mico Layout Bannerghatta Road Bangalore,South Indian, , , , , , , 
The Reservoire,Koramangala 5th Block,17th Main Road JNC Road Koramangala 5th Block Bangalore,Continental, North Indian, American, Asian, Chinese, Pizza, Desserts,
Srivari Mess,BTM,2nd Stage 7th Main Road Mahadeshwara Nagar BTM Bangalore,Andhra, South Indian, , , , , , 
SLV Refreshments,Kumaraswamy Layout,722 Opposite Police Station 14th Main Kumaraswamy Layout Bangalore,South Indian, , , , , , , 
Aramane Donne Biriyani,BTM,749 7th Cross 14th Main 2nd Stage BTM Bangalore,Biryani, Fast Food, , , , , , 
Mast Marathi,HSR,945 5th Main 21st Cross Sector 7 HSR Layout HSR Bengaluru,Maharashtrian, Beverages, , , , , , 
The Nosh House,Sarjapur Road,29 1st Floor 4th Cross Kasavanahalli Off Sarjapur Main Road Sarjapur Road Bangalore,Italian, Salad, Desserts, Healthy Food, Continental, , , 
Tipsy Bull - The Bar Exchange,JP Nagar,603 15th Cross 100 Feet Ring Road 6th Phase JP Nagar Bangalore,Finger Food, North Indian, Continental, Fast Food, Naga, , , 
Samrajya,Kalyan Nagar,Ground Floor 203 4th Cross CMR Road Near Vasan Eye Care 3rd Block HRBR Layout Kalyan Nagar Bangalore,North Indian, Maharashtrian, Chinese, , , , , 
Devi Foods and Biryani's,Old Airport Road,Delivery Only,North Indian, Biryani, , , , , , 
Sweet Truth,Jayanagar,Delivery Only,Bakery, Desserts, , , , , , 
Maiyas,Jayanagar,459/30 30th Cross 4th Block Jayanagar Bangalore,North Indian, South Indian, Fast Food, Juices, , , , 
Thottathil Food House,BTM,2nd Cross Maruthi Nagar Madiwala Near Sreenivasa Temple BTM Bangalore,Kerala, South Indian, Biryani, , , , , 
Bombay Brasserie,Indiranagar,2989/B 12th Main Road HAL 2nd Stage Indiranagar Bangalore,Modern Indian, , , , , , , 
Polar Bear,JP Nagar,352/B 24th Main 5th Phase JP Nagar Bangalore,Desserts, Ice Cream, Beverages, Fast Food, , , , 
Tandoori Taal,Indiranagar,3169-B 12th Main HAL 2nd Stage Double Road Indiranagar Bangalore,Biryani, North Indian, , , , , , 
An Egg Story,Kalyan Nagar,428 5M HRBR Layout 2nd Block Kalyan Nagar Bangalore,Cafe, Continental, American, Italian, , , , 
ASHOK VATTIKA,Jayanagar,8 6th Main C Main Road 4th Block Jayanagar Bangalore,South Indian, Chinese, North Indian, Biryani, , , , 
Aroma's Hyderabad House,Kalyan Nagar,1st Block HBRR Layout Babusapalya Kalyan Nagar Bangalore,Biryani, Mughlai, North Indian, Chinese, , , , 
Cloud Cafe,Nagarbhavi,626 4th Floor Aditya Tower 80 Feet Road Vinayaka Layout 4th Stage Nagarbhavi Bangalore,Chinese, Italian, Asian, Continental, , , , 
Magic Kitchen And Biryani,Yeshwantpur,288 5th Main 11th Cross MSR Nagar Behind Ramaiah College Yeshwanthpur Bangalore,Biryani, Kebab, South Indian, , , , , 
Karahi Kitchen,Koramangala 5th Block,Delivery Only,Andhra, Biryani, Chinese, North Indian, South Indian, , , 
VV Shawarma,Marathahalli,Delivery Only,Lebanese, Rolls, Chinese, Beverages, , , , 
XO Belgian Waffle,Banashankari,18 B K Complex Opposite BDA Complex 21st Main Road 2nd Stage Banashankari Bangalore,Desserts, Beverages, , , , , , 
Arena - Artisanal Brewkitchen,Indiranagar,48 Defence Colony 100 Feet Road Indiranagar Bangalore,Sushi, Continental, Italian, Asian, , , , 
Seven Ate Nine,HSR,436 17 Cross Road Sector 4 HSR Bangalore,Modern Indian, South Indian, Pizza, Burger, Rolls, , , 
Lucky Chan - Dimsum & Sushi Parlour,Indiranagar,594 12th Main Road HAL 2nd Stage Indiranagar Bangalore,Japanese, Chinese, , , , , , 
Chatpatlal Sweets & Snacks,Marathahalli,1339 60 Feet Road D Block AECS Layout Marathahalli Bangalore,Street Food, Mithai, North Indian, Fast Food, Desserts, , , 
Dal-icious,BTM,5 6th Cross 1st Main Road N.S. Palya 2nd Stage BTM Bangalore,North Indian, Chinese, Biryani, , , , , 
Kappa Chakka Kandhari,Koramangala 6th Block,438 18th Main Road Koramangala 6th Block Bangalore,Kerala, , , , , , , 
Galito's,Vega City Bannerghatta Road,Vega City Mall 3rd Floor Bannerghatta Road Bangalore,African, Burger, Fast Food, Beverages, Desserts, , , 
Just Shawarma,BTM,Shop 943 16th Main Road Mico Layout 2nd Stage BTM Bangalore,Lebanese, , , , , , , 
Timepass Dinner,Basavanagudi,37 5-1 4th Floor Bosco Court Gandhi Bazaar Main Road Basavanagudi Bangalore,North Indian, , , , , , , 
Nourich,JP Nagar,67 Ground Floor 3rd E Main Road 3rd Phase JP Nagar Bangalore,Healthy Food, Chinese, North Indian, Fast Food, Beverages, Mughlai, , 
Bamey's Restro Cafe,Koramangala 5th Block,A/5 Ground Floor KHB Colony Koramangala 5th Block Bangalore,Asian, Nepalese, Momos, , , , , 
Onesta,Indiranagar,501 Binnamangala Extension 1st stage C.M.H Road Indiranagar Bangalore,Italian, Pizza, Desserts, Beverages, , , , 
Stories,Rajajinagar,23 20th Main Raod 1st R Block Rajajinagar Bangalore,American, Chinese, Continental, North Indian, Desserts, Beverages,, 
Go Native,Jayanagar,64 10th Main Road 5th Block Jayanagar Bangalore,Healthy Food, Modern Indian, Desserts, , , , , 
Tandoori Junction,Marathahalli,91/A Munnekolala Extension Outer Ring Road Marathahalli Bangalore,North Indian, Chinese, Biryani, , , , , 
Jus' Trufs,Sahakara Nagar,9 Jakkur Main Road Sahakara Nagar Bangalore,Italian, Cafe, Pizza, Burger, Sandwich, Continental, Desserts, Beverages
You Mee,Forum Shantiniketan Mall Whitefield,Upper Ground Floor Forum Shantiniketan Whitefield Main Road Thigalarapalya Whitefield Bangalore,Japanese, Chinese, Thai, , , , , 
Five Star Chicken,JP Nagar,18th Cross Road 5th Phase JP Nagar Bangalore,Fast Food, , , , , , , 
Mughal Treat,HSR,27th Main Road 2nd Sector Near KEB Power Station HSR Bangalore,Mughlai, Chinese, Seafood, Biryani, Rolls, North Indian, , 
Donne Biriyani House,Brookefield,349 ITPL Main ROad AECS Layout C Block Mahadevpura BBMP East Brookefield Bangalore,Biryani, North Indian, Fast Food, , , , , 
Tea Positive,Marathahalli,MS Residency Sai Baba Road Munnekollal Marathahalli Bangalore,Tea, North Indian, Street Food, Beverages, Fast Food, , , 
Cafe Noir,UB City,2nd Floor UB City Vittal Mallya Road Lavelle Road Bangalore,Continental, Italian, Desserts, Cafe, Beverages, , , 
Rooftop Cafe,Jayanagar,16/33 11th Main 4th Block Geetha Colony Jayanagar Bangalore,Cafe, , , , , , , 
Le Gateau - The Cake Shop,Domlur,#598 1st 'A' Main Road 1st Cross Domlur Bangalore,Desserts, Bakery, , , , , , 
Shawarma Time,RT Nagar,1 Seethappa Layout Near Shree Bharathi School Cholanayakanhalli Main Road RT Nagar Bangalore,Rolls, Lebanese, Fast Food, , , , , 
The Paratha Stories,Ejipura,Venkappa Garden Ejipura Bangalore,North Indian, , , , , , , 
Bahar Cafe,Marathahalli,Ground Floor Vims Hospital Buidling Opposite to More Marathahalli Bangalore,Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian, , 
Cafe 99 Kerala Mess,Kalyan Nagar,925 5th A Cross 1st Block Service Road Near Babusapalya Bus Stop Kalyan Nagar Bangalore,Kerala, Biryani, Seafood, North Indian, , , , 
Slay Coffee,Basavanagudi,38/3 RV Rao Basavanagudi Bangalore,Coffee, Beverages, , , , , , 
Coco Spicy,Sarjapur Road,Shop 10 Mullur Colony Opposite Wipro Sez Ambedkar Nagar Varthur Hobli Sarjapur Road Bangalore,Kerala, North Indian, Chinese, , , , , 
China Pearl,Koramangala 6th Block,53/1 5th Cross Koramangala 6th Block Bangalore,Chinese, , , , , , , 
Little Italy,Kalyan Nagar,Building 7 HRBR Layout 2nd Block Extension Kalyan Nagar Bangalore,Mexican, Healthy Food, Italian, Juices, Pizza, , , 
Brahmin's Coffee Bar,Basavanagudi,Ranga Rao Road Near Shankar Mutt Shankarapura Near Basavanagudi Bangalore,South Indian, , , , , , , 
Cafe Pink Pajamas,Kalyan Nagar,5M-403 1st Floor 5th Main 2nd Block HRBR Layout Kalyan Nagar Bangalore,Cafe, Pizza, , , , , , 
Sri Swamy Veg,JP Nagar,60/2 80 Feet Road 9th Cross Sarakki Main Road Near IG Cricle 1st Phase JP Nagar Bangalore,South Indian, , , , , , , 
Hari Super Sandwich,Basavanagudi,24/1 Police Station Road Basavanagudi Bangalore,Fast Food, Street Food, Beverages, , , , , 
Cafe Rome,Sahakara Nagar,216/3 F Block RMS Layout Sahakara Nagar Bangalore,Cafe, Fast Food, Desserts, , , , , 
Bombay Bakerina,Hebbal,Prestige Misty Waters 3rd Main Road Kempapura Hebbal Bangalore,Bakery, , , , , , , 
Real Fresh Dosa Corner,Brookefield,AECS Layout Main Road Kundanahalli Brookefield Bangalore,South Indian, , , , , , , 
Hotel Kadamba Veg,Rajajinagar,Venkatadri Arcade Dr. Ambedkar Hopital WOC Road Rajajinagar Bangalore,South Indian, North Indian, Street Food, , , , , 
The Punjabi Rasoi,Whitefield,222/220/A Sadaramangala Whitefield Road Whitefield Bangalore,Mughlai, North Indian, Chinese, Beverages, , , , 
Pathaan Sir,BTM,16th Main 2nd Stage BTM Bangalore,Rolls, Fast Food, , , , , , 
Vaigai Vilas,Whitefield,128 1st Floor Pattandur Agrahara Near ITPL Service Road Whitefield Bangalore,Tamil, Biryani, Andhra, Chinese, South Indian, Beverages, , 
Al-Baik Tandoori Restaurant,HBR Layout,210/230/46 Ground Floor 80 Feet Road Opposite HP Petrol Bunk HBR Layout Bangalore,North Indian, Chinese, Arabian, Biryani, Rolls, , , 
New Govind Rao Military Hotel,Majestic,6 758 Cottonpet Main Road Bhashyam Circle Chikkapete Majestic Bangalore,South Indian, Biryani, , , , , , 
Green Theory,Residency Road,15 Convent Road Off Residency Road Residency Road Bangalore,Cafe, Italian, Continental, Thai, Healthy Food, , , 
Food The Way You Like,Whitefield,Delivery Only,North Indian, Chinese, Biryani, , , , , 
CANTAN - Chinese Bar House,Lavelle Road,25/4 1st Opposite Harley Davidson Lavelle Road Bangalore,Chinese, Cantonese, , , , , , 
Krutunga Restaurant,Whitefield,Ground Floor 1st Main6th Cross Ambedkar Nagar Whitefield Bangalore,Andhra, Chinese, North Indian, Biryani, Beverages, , , 
Sitara Veg Restaurant,Electronic City,Hotel Goyal Residency 17-C 1st Phase Electronic City Bangalore,South Indian, North Indian, Chinese, Fast Food, , , , 
Spicy House,Marathahalli,91 Behind Salarpuria Supreme Tulasi Theatre Road Between 7th and 8th Main Marathahalli Bangalore,North Indian, Chinese, Seafood, Biryani, , , , 
Roti Ghar Ki,Whitefield,Site 163/3/75 Siddapura Village Nallurahalli 1st Cross Opposite Play 9 Whitefield Bangalore,North Indian, Chinese, , , , , , 
Oota Bangalore,Windmills Craftworks,331 5B EPIP Zone Near L&T Infotech Whitefield Bangalore,Salad, Mangalorean, , , , , , 
Rebel Star Naati Style,New BEL Road,158 Lakshmipura Cross Vaderahalli Vidyaranyapura New BEL Road Bangalore,South Indian, , , , , , , 
South Ruchis Square,Race Course Road,Raceview Hotel Madhava Nagar Race Course Road Bangalore,North Indian, South Indian, Chinese, Beverages, , , , 
Swad Punjab Da,BTM,324 23rd Main 3rd Cross 2nd Stage BTM Bangalore,North Indian, , , , , , , 
Faasos,Jayanagar,2nd Block Rashtriya Vidyalaya Raod Jayanagar Bangalore,Fast Food, North Indian, Biryani, Rolls, Wraps, , , 
Phobidden Fruit,Indiranagar,965 12th Main HAL 2nd Stage Off 100 Feet Road Indiranagar Bangalore,Vietnamese, Desserts, Thai, , , , , 
La Casa Brewery And Kitchen,Sarjapur Road,15 Amrita Engineering College Road Kasavanahalli Sarjapur Road Bangalore,Continental, North Indian, Fast Food, Thai, Finger Food, Andhra, , 
Bheema's,Church Street,31 Church Street Bangalore,Andhra, North Indian, , , , , , 
Desi Meal Box,JP Nagar,Delivery Only,Kebab, Biryani, Mughlai, North Indian, , , , 
The Burger Place,Koramangala 1st Block,2nd Floor MMR Plaza Above DCB Bank Sarjapur Main Road Koramangala 1st Block Bangalore,Burger, Fast Food, , , , , , 
Paradise Andhra Mess,Jalahalli,Geleyara Balaga Layout Jalahalli West Near Jalahalli Bangalore,Hyderabadi, , , , , , , 
Gowdru Hotel,Vijay Nagar,63 1st Main B.B.M.P West Marenahalli Vijay Nagar Bangalore,Biryani, South Indian, , , , , , 
Chickpet Donne Biryani House,Marathahalli,90/4 1st Floor JP Royale Opposite Innovative Multiplex Outer Ring Road Marathahalli Bangalore,Biryani, South Indian, Fast Food, , , , , 
Goody's Restro Cafe,Hennur,Krishnappa Complex Near K Narayanapura Cross Geddalahalli Rammana Layout Hennur Bangalore,Cafe, Fast Food, , , , , , 
The Urban Gully,HSR,807 Garden Layout Sector 2 19th Main HSR Layout HSR Bangalore,North Indian, Fast Food, , , , , , 
Maziga,VR Bengaluru Whitefield,3rd Floor VR Mall B Narayanapura Mahadevapura ITPL Main Road Whitefield Bangalore,Modern Indian, North Indian, Awadhi, , , , , 
WOW! China,HSR,1/120 14th Main Road 5th Sector HSR Bangalore,Chinese, , , , , , , 
Bangalore Bakers,Jalahalli,11 S.K. Complex Near Euro School Acharya College Road Chikkabanavara Jalahalli Bangalore,Bakery, , , , , , , 
Manchatti Homely Food,CV Raman Nagar,47 5th Cross Abbaiah Reddy Layout Kaggadasapura CV Raman Nagar Bangalore,South Indian, Kerala, , , , , , 
Heavenly,Hebbal,Delivery Only,Healthy Food, , , , , , , 
Pottery Chai,Kammanahalli,Ground Floor 1st Main Road Gurukrupa Complex Hemanth Nagar Kammanahalli Bangalore,Fast Food, , , , , , , 
Shree Venkateshwara Cafe,JP Nagar,31 Mohan Chambers 1st Main Road 3rd Phase JP Nagar Bangalore,Fast Food, Beverages, , , , , , 
Hotel Navayuga,Majestic,1 Anupama Theater Complex SC Road Gandhi Nagar Majestic Bangalore,Andhra, , , , , , , 
